First,Last,R,H,AB,LEAGUE
Leonys,Martin,72,128,518,AL
Jay,Bruce,74,135,540,NL
Jackie,Bradley Jr.,94,149,558,AL
George,Springer,116,168,644,AL
Corey,Dickerson,57,125,510,AL
Dexter,Fowler,84,126,457,NL
Angel,Pagan,71,137,495,NL
Adam,Eaton,91,176,620,AL
Yasmany,Tomas,72,144,529,NL
Gregory,Polanco,79,136,527,NL
Nomar,Mazara,59,137,515,AL
Justin,Upton,81,140,569,AL
Bryce,Harper,84,123,506,NL
Kole,Calhoun,91,161,594,AL
Ender,Inciarte,85,152,522,NL
Jacoby,Ellsbury,71,145,551,AL
Curtis,Granderson,88,129,544,NL
Mookie,Betts,122,214,673,AL
Denard,Span,70,152,571,NL
Adam,Duvall,85,133,552,NL
Brett,Gardner,80,143,548,AL
Matt,Kemp,89,167,623,NL
Khris,Davis,85,137,555,AL
Mike,Trout,123,173,549,AL
Melky,Cabrera,70,175,591,AL
Jose,Bautista,68,99,423,AL
Ian,Desmond,107,178,625,AL
Alex,Gordon,62,98,445,AL
Ryan,Braun,80,156,511,NL
Nick,Markakis,67,161,599,NL
Carlos,Gonzalez,87,174,584,NL
Yoenis,Cespedes,72,134,479,NL
Stephen,Piscotty,86,159,582,NL
Michael,Saunders,70,124,490,AL
Jayson,Werth,84,128,525,NL
Howie,Kendrick,65,124,486,NL
Adam,Jones,86,164,619,AL
Marcell,Ozuna,75,148,556,NL
Jason,Heyward,61,122,530,NL
Marwin,Gonzalez,55,123,484,AL
Starling,Marte,71,152,489,NL
J.D.,Martinez,69,141,459,AL
Kevin,Pillar,59,146,549,AL
Charlie,Blackmon,111,187,577,NL
Odubel,Herrera,87,167,584,NL
Christian,Yelich,78,172,577,NL
Andrew,McCutchen,81,153,598,NL
